datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2024-06-07,29.18,31.45,29.18,30.28,30852079.0,TREND_UP_(M),,Bc,
2024-06-12,30.15,32.23,30.15,32.06,35253253.0,TREND_UP_(M),,,
2024-06-13,32.5,32.81,31.46,31.52,26919919.0,TREND_UP,TOP,,
2024-06-14,31.3,31.45,30.5,31.22,21045944.0,TREND_DOWN,BOTTOM,Tc,
2024-06-17,30.79,32.35,30.75,32.02,20429596.0,TREND_UP,,Bc,
2024-06-18,31.9,32.68,31.25,31.64,19418963.0,TREND_UP,TOP,,
2024-06-19,31.84,32.15,30.83,31.75,19055057.0,TREND_DOWN,BOTTOM,Tc,
2024-06-20,31.48,32.32,30.89,30.92,17839990.0,TREND_UP,TOP,Bc,
2024-06-21,30.59,31.28,30.12,30.93,11713876.0,TREND_DOWN,,Tc,
2024-06-24,30.69,31.26,29.26,29.45,16623071.0,TREND_DOWN,,,
2024-06-25,29.53,29.56,28.0,28.27,16411013.0,TREND_DOWN,,,
2024-06-26,28.38,29.05,27.8,28.66,14819530.0,TREND_DOWN,,,
2024-06-27,28.3,28.51,27.55,27.61,13527420.0,TREND_DOWN,,,
2024-06-28,27.56,27.96,27.05,27.17,14352550.0,TREND_DOWN,,,
2024-07-01,27.05,27.78,26.9,27.53,9807411.0,TREND_DOWN,BOTTOM,,
2024-07-03,27.47,28.97,27.47,28.4,16743627.0,TREND_UP_(M),,Bc,
2024-07-04,28.31,29.02,28.2,28.39,13145306.0,TREND_UP,TOP,,
2024-07-05,28.25,28.8,27.87,28.3,10303910.0,TREND_DOWN,BOTTOM,Tc,
2024-07-08,28.55,29.15,28.03,28.42,12932499.0,TREND_UP,,Bc,
2024-07-09,28.29,30.55,28.21,30.43,25897801.0,TREND_UP,,,
2024-07-10,30.49,31.52,30.22,31.16,19332969.0,TREND_UP,,,
2024-07-11,31.49,32.26,30.8,32.2,23057662.0,TREND_UP,,,
2024-07-12,31.66,32.5,31.51,32.15,23096200.0,TREND_UP,,,
2024-07-15,32.33,32.56,31.79,32.01,15645029.0,TREND_UP,,,
2024-07-16,33.45,34.25,32.01,34.08,54145675.0,TREND_UP,,,
2024-07-18,33.99,35.36,33.79,35.11,38169871.0,TREND_UP_(M),,,
2024-07-19,34.7,35.88,34.58,34.9,33080796.0,TREND_UP,TOP,,
2024-07-22,35.18,35.68,34.56,34.75,23320649.0,TREND_DOWN,,Tc,
2024-07-23,34.6,34.67,32.68,32.84,29760291.0,TREND_DOWN,,,
2024-07-24,32.84,33.2,31.78,32.0,19738213.0,TREND_DOWN,,,
2024-07-25,31.8,32.17,31.45,31.62,16408176.0,TREND_DOWN,,,
2024-07-26,31.68,32.08,30.9,31.82,18806779.0,TREND_DOWN,BOTTOM,,
2024-07-29,31.83,32.37,31.44,31.5,17510332.0,TREND_UP,TOP,Bc,
2024-07-30,31.21,31.94,30.99,31.62,14157630.0,TREND_DOWN,BOTTOM,Tc,
